episode,step,score,best_as,best_step,best_bcrs,best_mcrs,best_crs,best_score
244,2180,5.124955158787344,-4.258255761604428,2175,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
245,2188,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
246,2196,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
247,2205,5.855670169564174,-16.711051805665207,2202,22.781061334230728,2.2861701601083753,25.067231494339104,8.356179688673897
248,2212,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
249,2222,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
250,2230,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
251,2241,6.0520507357369056,-2.9591370656300278,2237,23.072496497677175,2.2873454950393732,25.359841992716547,22.40070492708653
252,2249,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
253,2256,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
254,2263,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
255,2270,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
256,2277,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
257,2285,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
258,2292,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
259,2299,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
260,2307,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
261,2314,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
262,2322,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
263,2329,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
264,2339,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
265,2346,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
266,2351,-23.23398911045571,-inf,0,-inf,-inf,-inf,0.0
267,2358,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
268,2365,28.94254146367446,-21.23465929584281,2365,45.11467919380212,5.062521565715154,50.17720075951727,28.94254146367446
269,2374,25.61651378178636,-17.83082813311301,2371,44.40604709149264,4.992163473587262,49.3982105650799,31.56738243196689
270,2385,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
271,2398,31.45790640318341,-22.089083894717433,2398,48.100558340029046,5.446431957871801,53.54699029790085,31.45790640318341
272,2406,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
273,2418,5.798623743736005,-2.9591370656300278,2413,23.07249649767718,2.2873454950393723,25.35984199271655,22.40070492708653
274,2424,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
275,2432,-19.15868655757489,-inf,0,-inf,-inf,-inf,0.0
276,2439,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
277,2446,3.8505587921447844,-2.959137065630027,2442,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
278,2454,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
279,2461,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
280,2470,-32.019622583235225,-inf,0,-inf,-inf,-inf,0.0
281,2481,5.124955158787344,-4.258255761604428,2476,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
282,2491,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
283,2498,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
284,2505,5.248552719274636,-2.959137065630027,2500,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
285,2513,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
286,2521,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
287,2528,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
288,2535,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
289,2548,29.91427873984132,-16.711051805665207,2543,43.231321440538956,5.008758702373234,48.24008014291219,31.529028337246984
290,2558,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
291,2565,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
292,2575,5.124955158787351,-2.9591370656300278,2571,23.07249649767718,2.287345495039373,25.35984199271655,22.40070492708653
293,2582,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
294,2594,-21.26518349135899,-inf,0,-inf,-inf,-inf,0.0
295,2607,3.5451297991479827,-2.9591370656300278,2601,23.07249649767718,2.2873454950393732,25.359841992716554,22.400704927086526
296,2614,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
297,2622,31.79176348191129,-19.377742775299758,2622,46.07303758359772,5.096468673613328,51.16950625721105,31.79176348191129
298,2634,4.194036808574729,-8.612265896583384,2631,23.552452271964416,2.333914159761272,25.886366431725687,17.2741005351423
299,2643,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
300,2650,31.683849122725615,-18.878308932517115,2650,45.45720260465485,5.104955450587871,50.562158055242726,31.683849122725615
301,2660,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
302,2668,31.791763481911286,-19.377742775299758,2668,46.073037583597724,5.096468673613328,51.169506257211054,31.791763481911286
303,2675,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
304,2686,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
305,2694,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
306,2701,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
307,2712,5.124955158787344,-4.258255761604428,2707,22.679395782947633,2.2831021065521013,24.962497889499733,20.704242127895306
308,2723,5.356908324082551,-4.258255761604428,2719,22.67939578294763,2.2831021065521018,24.96249788949973,20.704242127895306
309,2734,3.5451297991479844,-2.959137065630027,2724,20.936543909348444,2.0920679886685556,23.028611898017,20.069474832386973
310,2741,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
311,2752,5.124955158787351,-2.9591370656300278,2748,23.07249649767718,2.287345495039373,25.35984199271655,22.40070492708653
312,2759,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
313,2769,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
314,2780,-20.49937481551856,-inf,0,-inf,-inf,-inf,0.0
315,2787,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
316,2792,-18.308537817526915,-inf,0,-inf,-inf,-inf,0.0
317,2802,-24.15298667393565,-inf,0,-inf,-inf,-inf,0.0
318,2810,-18.159194261759296,-inf,0,-inf,-inf,-inf,0.0
